0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
3210	EXP030187	Homo sapiens	3.1.1.9.2	CDX2		LoVo	PEAKS034254	CDX-2 (CDX-3)	EXP030000	INPUT	GEO:GSM1003797	Q99626	CDX2_HUMAN		139	905	4414	0	2
3211	EXP030052	Homo sapiens	9.1.1.2.1	YBX1		LoVo	PEAKS034119	YB-1 (DbpB)	EXP030000	INPUT	GEO:GSM1003797	P67809	YBOX1_HUMAN		270	1338	3115	0	1
3212	EXP030091	Homo sapiens	6.1.1.2.2	RELB		LoVo	PEAKS034158	RelB (I-Rel)	EXP030000	INPUT	GEO:GSM1003797	Q01201	RELB_HUMAN		44	851	814	2	299
3213	EXP030084	Homo sapiens	2.1.5.0.2	NR5A2		LoVo	PEAKS034151	LRH-1 (NR5A2)	EXP030000	INPUT	GEO:GSM1003797	O00482	NR5A2_HUMAN		135	248	1278	17	16307
3214	EXP030114	Homo sapiens	2.3.3.17.2	OVOL2		LoVo	PEAKS034181	OVOL2 (ZNF339) [4]	EXP030000	INPUT	GEO:GSM1003797	Q9BRP0	OVOL2_HUMAN		224	22432	8248	5366	59239
3215	EXP030268	Homo sapiens	6.2.1.0.7	STAT6		LoVo	PEAKS034335	STAT6	EXP030000	INPUT	GEO:GSM1003797	P42226	STAT6_HUMAN		48	3301	1955	2	8494
3216	EXP030198	Homo sapiens	2.3.3.9.1	YY1		LoVo	PEAKS034265	YY1	EXP030000	INPUT	GEO:GSM1003797	P25490	TYY1_HUMAN		1829	4411	7648	274	164
3217	EXP030164	Homo sapiens	4.2.1.0.1	NFYA		LoVo	PEAKS034231	NF-YA (CP1A, CBF-B)	EXP030000	INPUT	GEO:GSM1003797	P23511	NFYA_HUMAN		4574	3673	8614	2207	24
3218	EXP030190	Homo sapiens	1.1.7.2.3	CREB3L2		LoVo	PEAKS034257	CREB-3L2	EXP030000	INPUT	GEO:GSM1003797	Q70SY1	CR3L2_HUMAN		84	941	3815	0	2
3219	EXP030315	Homo sapiens	3.1.1.2.1	HOXA2		LoVo	PEAKS034382	Hox-A2 (HOX1K)	EXP030000	INPUT	GEO:GSM1003797	O43364	HXA2_HUMAN		2506	8977	17684	17684	12745
3220	EXP030018	Homo sapiens	6.5.2.0.2	EOMES		LoVo	PEAKS034085	TBR-2 (EOMES)	EXP030000	INPUT	GEO:GSM1003797	O95936	EOMES_HUMAN		135	1077	1606	4	26
3221	EXP030129	Homo sapiens	1.1.1.3.2	ATF7		LoVo	PEAKS034196	ATF-7	EXP030000	INPUT	GEO:GSM1003797	P17544	ATF7_HUMAN		19	62	302	0	1
3222	EXP030377	Homo sapiens	3.5.2.1.10	ERF		LoVo	PEAKS034444	ERF	EXP030000	INPUT	GEO:GSM1003797	P50548	ERF_HUMAN		194	1089	6467	2	1
3223	EXP030326	Homo sapiens	1.2.6.3.1	SREBF1		LoVo	PEAKS034393	SREBP-1	EXP030000	INPUT	GEO:GSM1003797	P36956	SRBP1_HUMAN		143	520	5074	0	1
3224	EXP030312	Homo sapiens	4.1.1.5.2	SOX9		LoVo	PEAKS034379	SOX-9	EXP030000	INPUT	GEO:GSM1003797	P48436	SOX9_HUMAN		289	7050	23053	1	38
3225	EXP030167	Homo sapiens	4.1.7.0.1	TFAM		LoVo	PEAKS034234	TFAM (mtTFA, MtTF1, TCF6, TCF6L2) [2]	EXP030000	INPUT	GEO:GSM1003797	Q00059	TFAM_HUMAN		172	178	931	835	1
3226	EXP030370	Homo sapiens	4.1.3.0.3	TCF7L2		LoVo	PEAKS034437	TCF-7L2 (TCF-4) [1]	EXP030000	INPUT	GEO:GSM1003797	Q9NQB0	TF7L2_HUMAN		356	329	4587	1	2
3227	EXP030104	Homo sapiens	1.3.1.0.1	TFAP2A		LoVo	PEAKS034171	AP-2&#945;	EXP030000	INPUT	GEO:GSM1003797	P05549	AP2A_HUMAN		1180	1878	3920	2	627
3228	EXP030313	Homo sapiens	5.1.2.0.1	SRF		LoVo	PEAKS034380	SRF	EXP030000	INPUT	GEO:GSM1003797	P11831	SRF_HUMAN		64	567	1400	0	1
3229	EXP030306	Homo sapiens	2.3.3.0.54	MYNN		LoVo	PEAKS034373	MYNN [8] (OSZF, ZBTB31)	EXP030000	INPUT	GEO:GSM1003797	Q9NPC7	MYNN_HUMAN		5	2572	686	1	
3230	EXP030256	Homo sapiens	2.3.3.1.1	GLI1		LoVo	PEAKS034323	GLI1	EXP030000	INPUT	GEO:GSM1003797	P08151	GLI1_HUMAN		26	2738	3569	0	2
3231	EXP030356	Homo sapiens	3.3.1.10.2	FOXJ2		LoVo	PEAKS034423	FOXJ2 (Fkx)	EXP030000	INPUT	GEO:GSM1003797	Q9P0K8	FOXJ2_HUMAN		30	792	966	0	46373
3232	EXP030042	Homo sapiens	2.3.4.2.4	ZNF217		LoVo	PEAKS034109	ZNF217 [1+3+1+2] (ZABC1)	EXP030000	INPUT	GEO:GSM1003797	O75362	ZN217_HUMAN		429	25493	11063	8351	7
3233	EXP030032	Homo sapiens	2.3.4.0.1	CASZ1		LoVo	PEAKS034099	CASZ1 [3+1+1+3] (CST, SRG, ZNF693)	EXP030000	INPUT	GEO:GSM1003797	Q86V15	CASZ1_HUMAN		243	17086	4944	31	1
3234	EXP030261	Homo sapiens	2.3.3.0.55	ZBTB24		LoVo	PEAKS034328	ZBTB24 [8] (ZNF450)	EXP030000	INPUT	GEO:GSM1003797	O43167	ZBT24_HUMAN		66	342	1659	0	1
3235	EXP030328	Homo sapiens	1.1.3.2.1	MAFF		LoVo	PEAKS034395	MafF	EXP030000	INPUT	GEO:GSM1003797	Q9ULX9	MAFF_HUMAN		36	377	977	20	13277
3236	EXP030270	Homo sapiens	2.1.2.3.1	NR1D1		LoVo	PEAKS034337	Rev-ErbA&#945; (NR1D1)	EXP030000	INPUT	GEO:GSM1003797	P20393	NR1D1_HUMAN		239	33398	9299	7617	1
3237	EXP030321	Homo sapiens	3.1.1.8.1	HOXA9		LoVo	PEAKS034388	Hox-A9 (HOX1G)	EXP030000	INPUT	GEO:GSM1003797	P31269	HXA9_HUMAN		2	229	1232	2	38712
3238	EXP030369	Homo sapiens	2.3.3.50.2	CTCFL		LoVo	PEAKS034436	CTCFL [11] (CTCF-T, BORIS)	EXP030000	INPUT	GEO:GSM1003797	Q8NI51	CTCFL_HUMAN		4467	5873	13616	11697	96
3239	EXP030211	Homo sapiens	2.1.2.7.2	NR1H2		LoVo	PEAKS034278	LXR&#946; (NR1H2)	EXP030000	INPUT	GEO:GSM1003797	P55055	NR1H2_HUMAN		117	7290	1570	0	1
3240	EXP030046	Homo sapiens	3.1.10.7.2	HNF1B		LoVo	PEAKS034113	HNF-1&#946; (HNF-1B, vHNF1, LF-B3)	EXP030000	INPUT	GEO:GSM1003797	P35680	HNF1B_HUMAN		29	209	1290	0	1
3241	EXP030065	Homo sapiens	5.3.3.1.1	GMEB1		LoVo	PEAKS034132	GMEB-1	EXP030000	INPUT	GEO:GSM1003797	Q9Y692	GMEB1_HUMAN		479	3513	12078	19	4
3242	EXP030169	Homo sapiens	1.1.8.1.6	CEBPZ		LoVo	PEAKS034236	DDIT3 (CHOP-10)	EXP030000	INPUT	GEO:GSM1003797	P35638	DDIT3_HUMAN		242	562	2863	5	4
3243	EXP030093	Homo sapiens	6.7.1.1.1	GRHL1		LoVo	PEAKS034160	GRH-L1 (CP2-L2, LBP-32, MGR)	EXP030000	INPUT	GEO:GSM1003797	Q9NZI5	GRHL1_HUMAN		2035	8127	8356	1	22
3244	EXP030253	Homo sapiens	6.1.1.1.2	NFKB2		LoVo	PEAKS034320	NF-&#954;B p100 (NFKB2)	EXP030000	INPUT	GEO:GSM1003797	Q00653	NFKB2_HUMAN		6	1307	5117	0	1
3245	EXP030272	Homo sapiens	2.3.4.15.1	BCL11A		LoVo	PEAKS034339	BCL11A [1+2+3] (CTIP1, EVI9, ZNF856)	EXP030000	INPUT	GEO:GSM1003797	Q9H165	BC11A_HUMAN		63	5891	1485	10	1
3246	EXP030381	Homo sapiens	2.3.1.1.2	SP2		LoVo	PEAKS034448	Sp2	EXP030000	INPUT	GEO:GSM1003797	Q02086	SP2_HUMAN		1009	1279	4459	112	81
3247	EXP030024	Homo sapiens	1.1.1.1.1	JUN		LoVo	PEAKS034091	c-Jun	EXP030000	INPUT	GEO:GSM1003797	P05412	JUN_HUMAN		14189	8777	38281	29502	2
3248	EXP030236	Homo sapiens	3.1.2.19.1	NKX6-1		LoVo	PEAKS034303	NKX-6.1 (NKX6-1, NKX6A)	EXP030000	INPUT	GEO:GSM1003797	P78426	NKX61_HUMAN		164	803	2029	2021	43962
3249	EXP030230	Homo sapiens	7.1.1.2.1	SMAD4		LoVo	PEAKS034297	SMAD4	EXP030000	INPUT	GEO:GSM1003797	Q13485	SMAD4_HUMAN		36	285	1384	0	3
3250	EXP030355	Homo sapiens	2.3.1.3.2	EGR2		LoVo	PEAKS034422	EGR2 (Krox-20)	EXP030000	INPUT	GEO:GSM1003797	P11161	EGR2_HUMAN		91	684	1215	0	1
3251	EXP030279	Homo sapiens	2.3.3.2.1	SNAI1		LoVo	PEAKS034346	SNAI1	EXP030000	INPUT	GEO:GSM1003797	O95863	SNAI1_HUMAN		174	1286	4090	0	1
3252	EXP030080	Homo sapiens	2.3.4.7.1	RLF		LoVo	PEAKS034147	RLF [1+5+1+2+4+1]	EXP030000	INPUT	GEO:GSM1003797	Q13129	RLF_HUMAN		75	611	2121	0	1
3253	EXP030113	Homo sapiens	3.1.4.2.2	MEIS2		LoVo	PEAKS034180	Meis2	EXP030000	INPUT	GEO:GSM1003797	O14770	MEIS2_HUMAN		201	10433	4187	21	1
3254	EXP030348	Homo sapiens	2.3.3.0.188	ZNF83		LoVo	PEAKS034415	ZNF83 [15] (ZNF816B)	EXP030000	INPUT	GEO:GSM1003797	P51522	ZNF83_HUMAN		11967	17415	33448	33448	31500
3255	EXP030365	Homo sapiens	2.3.3.1.6	GLIS3		LoVo	PEAKS034432	GLIS3 (ZNF515)	EXP030000	INPUT	GEO:GSM1003797	Q8NEA6	GLIS3_HUMAN		139	1214	8996	0	1
3256	EXP030338	Homo sapiens	3.1.1.1.2	HOXB1		LoVo	PEAKS034405	Hox-B1 (HOX2I)	EXP030000	INPUT	GEO:GSM1003797	P14653	HXB1_HUMAN		2	11	242	0	1
3257	EXP030240	Homo sapiens	3.1.2.5.6	DLX6		LoVo	PEAKS034307	DLX-6	EXP030000	INPUT	GEO:GSM1003797	P56179	DLX6_HUMAN		31	3863	16680	0	1
3258	EXP030163	Homo sapiens	4.2.1.0.2	NFYB		LoVo	PEAKS034230	NF-YB (CP1B, CBF-A)	EXP030000	INPUT	GEO:GSM1003797	P25208	NFYB_HUMAN		38	1080	928	701	431
3259	EXP030352	Homo sapiens	3.1.3.1.3	ALX4		LoVo	PEAKS034419	ALX-4	EXP030000	INPUT	GEO:GSM1003797	Q9H161	ALX4_HUMAN		390	768	7345	0	1
3260	EXP030116	Homo sapiens	3.6.1.0.2	TEAD4		LoVo	PEAKS034183	TEF-3 (TEAD-4, TCF-13L1)	EXP030000	INPUT	GEO:GSM1003797	Q15561	TEAD4_HUMAN		19	776	686	5	579
3261	EXP030191	Homo sapiens	1.1.7.2.2	CREB3L1		LoVo	PEAKS034258	CREB-3L1 (OASIS)	EXP030000	INPUT	GEO:GSM1003797	Q96BA8	CR3L1_HUMAN			380	699	28	2169
3262	EXP030311	Homo sapiens	4.1.1.3.1	SOX4		LoVo	PEAKS034378	SOX-4 (IRE-ABP)	EXP030000	INPUT	GEO:GSM1003797	Q06945	SOX4_HUMAN		138	4678	4531	2	0
3263	EXP030204	Homo sapiens	1.2.4.1.2	HES2		LoVo	PEAKS034271	HES-2	EXP030000	INPUT	GEO:GSM1003797	Q9Y543	HES2_HUMAN		30	174	2529	0	2
3264	EXP030283	Homo sapiens	3.1.1.14.2	MEOX2		LoVo	PEAKS034350	MEOX-2 (MOX-2)	EXP030000	INPUT	GEO:GSM1003797	P50222	MEOX2_HUMAN		3	169	878	2	380
3265	EXP030117	Homo sapiens	1.1.1.1.3	JUND		LoVo	PEAKS034184	JunD	EXP030000	INPUT	GEO:GSM1003797	P17535	JUND_HUMAN		21602	1179	51148	35318	1
3266	EXP030058	Homo sapiens	2.2.1.2.1	GATAD1		LoVo	PEAKS034125	GATAD1 (ODAG)	EXP030000	INPUT	GEO:GSM1003797	Q8WUU5	GATD1_HUMAN			1694	1031	19	2715
3267	EXP030054	Homo sapiens	3.4.1.0.1	HSF1		LoVo	PEAKS034121	HSF1 (HSTF1)	EXP030000	INPUT	GEO:GSM1003797	Q00613	HSF1_HUMAN		208	1245	4685	0	2
3268	EXP030244	Homo sapiens	1.2.1.0.3	TCF12		LoVo	PEAKS034311	HTF-4 (TCF-12, HEB)	EXP030000	INPUT	GEO:GSM1003797	Q99081	HTF4_HUMAN		4	513	1269	0	1
3269	EXP030274	Homo sapiens	4.1.1.9.2	HBP1		LoVo	PEAKS034341	HBP-1 [1]	EXP030000	INPUT	GEO:GSM1003797	O60381	HBP1_HUMAN		135	1252	11444	0	1
3270	EXP030305	Homo sapiens	3.1.1.4.4	HOXD4		LoVo	PEAKS034372	Hox-D4 (HOX4B)	EXP030000	INPUT	GEO:GSM1003797	P09016	HXD4_HUMAN		11	25	883	0	13
3271	EXP030199	Homo sapiens	3.1.2.15.2	NKX2-8		LoVo	PEAKS034266	NKX-2.8 (NKX2-8, NKX2G, NKX2H)	EXP030000	INPUT	GEO:GSM1003797	O15522	NKX28_HUMAN		167	263	1889	285	9
3272	EXP030300	Homo sapiens	2.2.1.1.6	GATA6		LoVo	PEAKS034367	GATA-6	EXP030000	INPUT	GEO:GSM1003797	Q92908	GATA6_HUMAN		19	751	2174	0	1
3273	EXP030057	Homo sapiens	3.4.1.0.3	HSF4		LoVo	PEAKS034124	HSF4 (HSTF4)	EXP030000	INPUT	GEO:GSM1003797	Q9ULV5	HSF4_HUMAN		262	147	4315	0	1
3274	EXP030010	Homo sapiens	3.1.1.8.10	HOXD11		LoVo	PEAKS034077	Hox-D11 (HOX4F)	EXP030000	INPUT	GEO:GSM1003797	P31277	HXD11_HUMAN		86	794	1898	0	10
3275	EXP030148	Homo sapiens	1.1.2.1.3	FOSL1		LoVo	PEAKS034215	Fra-1	EXP030000	INPUT	GEO:GSM1003797	P15407	FOSL1_HUMAN		11		1139	0	1
3276	EXP030294	Homo sapiens	3.3.1.15.3	FOXO4		LoVo	PEAKS034361	FOXO4	EXP030000	INPUT	GEO:GSM1003797	P98177	FOXO4_HUMAN		90	1740	2127	0	1
3277	EXP030266	Homo sapiens	4.1.1.9.1	CIC		LoVo	PEAKS034333	CIC [1]	EXP030000	INPUT	GEO:GSM1003797	Q96RK0	CIC_HUMAN		2	1272	2870	0	5
3278	EXP030384	Homo sapiens	3.5.3.0.1	IRF1		LoVo	PEAKS034451	IRF-1	EXP030000	INPUT	GEO:GSM1003797	P10914	IRF1_HUMAN		26466	14983	36172	34328	75
3279	EXP030181	Homo sapiens	1.1.8.2.1	DBP		LoVo	PEAKS034248	DBP	EXP030000	INPUT	GEO:GSM1003797	Q10586	DBP_HUMAN		226	2591	9793	2	22
3280	EXP030243	Homo sapiens	3.1.8.4.2	ZFHX3		LoVo	PEAKS034310	ZFHX3 (ZFH-3)	EXP030000	INPUT	GEO:GSM1003797	Q15911	ZFHX3_HUMAN		127	1500	3367	0	109
3281	EXP030133	Homo sapiens	3.3.2.1.2	E2F2		LoVo	PEAKS034200	E2F-2	EXP030000	INPUT	GEO:GSM1003797	Q14209	E2F2_HUMAN		2979	5704	20048	7371	0
3282	EXP030334	Homo sapiens	3.3.1.16.1	FOXP1		LoVo	PEAKS034401	FOXP1	EXP030000	INPUT	GEO:GSM1003797	Q9H334	FOXP1_HUMAN		12406	10672	36329	36314	25
3283	EXP030141	Homo sapiens	1.2.6.5.5	MAX		LoVo	PEAKS034208	Max	EXP030000	INPUT	GEO:GSM1003797	P61244	MAX_HUMAN		120	52930	5382	5251	34
3284	EXP030070	Homo sapiens	1.2.6.7.2	MXD3		LoVo	PEAKS034137	Mad3	EXP030000	INPUT	GEO:GSM1003797	Q9BW11	MAD3_HUMAN		380	3718	14320	0	30
3285	EXP030192	Homo sapiens	1.1.7.2.5	CREB3L4		LoVo	PEAKS034259	CREB-3L4	EXP030000	INPUT	GEO:GSM1003797	Q8TEY5	CR3L4_HUMAN		125	7511	19782	0	1
3286	EXP030376	Homo sapiens	2.3.3.8.2	ZBTB7B		LoVo	PEAKS034443	ZBTB7B	EXP030000	INPUT	GEO:GSM1003797	O15156	ZBT7B_HUMAN		4036	7376	21033	12509	38
3287	EXP030316	Homo sapiens	3.3.1.17.1	FOXQ1		LoVo	PEAKS034383	FOXQ1 (HFH-1)	EXP030000	INPUT	GEO:GSM1003797	Q9C009	FOXQ1_HUMAN		16	72	667	0	1
3288	EXP030077	Homo sapiens	1.2.2.1.4	MYF6		LoVo	PEAKS034144	Myf-6 (MRF4)	EXP030000	INPUT	GEO:GSM1003797	P23409	MYF6_HUMAN		212	530	3765	35	13811
3289	EXP030127	Homo sapiens	1.1.7.3.1	ATF6		LoVo	PEAKS034194	ATF-6&#945;	EXP030000	INPUT	GEO:GSM1003797	P18850	ATF6A_HUMAN		74	1982	1748	3	40
3290	EXP030314	Homo sapiens	3.1.1.1.1	HOXA1		LoVo	PEAKS034381	Hox-A1 (HOX1F)	EXP030000	INPUT	GEO:GSM1003797	P49639	HXA1_HUMAN		439	4364	19329	0	1
3291	EXP030227	Homo sapiens	2.3.2.4.9	AEBP2		LoVo	PEAKS034294	AEBP2	EXP030000	INPUT	GEO:GSM1003797	Q6ZN18	AEBP2_HUMAN		800	3396	12277	0	68
3292	EXP030323	Homo sapiens	1.2.4.1.12	BHLHE40		LoVo	PEAKS034390	DEC1 (STRA-13)	EXP030000	INPUT	GEO:GSM1003797	O14503	BHE40_HUMAN		125	574	1639	77	27209
3293	EXP030235	Homo sapiens	6.7.2.0.3	UBP1		LoVo	PEAKS034302	UBP-1 (LBP-1, SEF)	EXP030000	INPUT	GEO:GSM1003797	Q9NZI7	UBIP1_HUMAN		218	3363	2162	30	21454
3294	EXP030013	Homo sapiens	2.3.4.8.3	PATZ1		LoVo	PEAKS034080	PATZ1 [1+5+1] (RIAZ, ZBTB19, ZNF278, ZSG)	EXP030000	INPUT	GEO:GSM1003797	Q9HBE1	PATZ1_HUMAN		138	2719	8058	0	1
3295	EXP030289	Homo sapiens	1.2.2.1.1	MYOD1		LoVo	PEAKS034356	MyoD	EXP030000	INPUT	GEO:GSM1003797	P15172	MYOD1_HUMAN		12	399	2778	0	1
3296	EXP030003	Homo sapiens	5.1.1.1.1	MEF2A		LoVo	PEAKS034070	MEF-2A	EXP030000	INPUT	GEO:GSM1003797	Q02078	MEF2A_HUMAN		393	19320	16669	16669	1
3297	EXP030165	Homo sapiens	2.1.1.1.1	NR3C1		LoVo	PEAKS034232	Glucocorticoid receptor (GR) (NR3C1)	EXP030000	INPUT	GEO:GSM1003797	P04150	GCR_HUMAN		147	4399	7343	1	1
3298	EXP030107	Homo sapiens	1.1.1.2.4	NFE2L3		LoVo	PEAKS034174	NF-E2L3 (NRF3)	EXP030000	INPUT	GEO:GSM1003797	Q9Y4A8	NF2L3_HUMAN		2	278	1270	11	22761
3299	EXP030008	Homo sapiens	2.3.4.0.27	REST		LoVo	PEAKS034075	REST [1+7+1] (NRSF, XBR)	EXP030000	INPUT	GEO:GSM1003797	Q13127	REST_HUMAN		3217	5458	26694	15	6
3300	EXP030221	Homo sapiens	3.1.2.17.2	NKX2-5		LoVo	PEAKS034288	NKX-2.5 (NKX2-5, NKX2E, NKX4-1, CSX)	EXP030000	INPUT	GEO:GSM1003797	P52952	NKX25_HUMAN		86	1302	7776	0	1
3301	EXP030041	Homo sapiens	1.2.6.2.2	USF2		LoVo	PEAKS034108	USF-2	EXP030000	INPUT	GEO:GSM1003797	Q15853	USF2_HUMAN		156	718	2695	3	52
3302	EXP030195	Homo sapiens	3.1.3.19.1	PITX1		LoVo	PEAKS034262	PITX-1 (BFT, PTX1)	EXP030000	INPUT	GEO:GSM1003797	P78337	PITX1_HUMAN		147	701	2166	0	1
3303	EXP030340	Homo sapiens	3.1.1.2.2	HOXB2		LoVo	PEAKS034407	Hox-B2 (HOX2H)	EXP030000	INPUT	GEO:GSM1003797	P14652	HXB2_HUMAN		10	12	949	0	1
3304	EXP030108	Homo sapiens	1.2.6.1.1	TFE3		LoVo	PEAKS034175	TFE3	EXP030000	INPUT	GEO:GSM1003797	P19532	TFE3_HUMAN		115	1655	1227	0	1
3305	EXP030373	Homo sapiens	1.2.3.2.3	HAND1		LoVo	PEAKS034440	HAND-1 (eHAND, Th1)	EXP030000	INPUT	GEO:GSM1003797	O96004	HAND1_HUMAN		139	744	1588	0	124
3306	EXP030278	Homo sapiens	6.2.1.0.1	STAT1		LoVo	PEAKS034345	STAT1	EXP030000	INPUT	GEO:GSM1003797	P42224	STAT1_HUMAN		403	15460	5995	80	1
3307	EXP030174	Homo sapiens	1.1.8.1.5	CEBPE		LoVo	PEAKS034241	C/EBP&#949;	EXP030000	INPUT	GEO:GSM1003797	Q15744	CEBPE_HUMAN		3	283	2705	2089	643
3308	EXP030120	Homo sapiens	1.2.5.1.7	EPAS1		LoVo	PEAKS034187	EPAS-1	EXP030000	INPUT	GEO:GSM1003797	Q99814	EPAS1_HUMAN		129	1719	6234	0	2
3309	EXP030229	Homo sapiens	7.1.1.1.4	SMAD5		LoVo	PEAKS034296	SMAD5	EXP030000	INPUT	GEO:GSM1003797	Q99717	SMAD5_HUMAN		386	7380	3522	562	1
3310	EXP030247	Homo sapiens	2.3.2.1.12	ZBTB33		LoVo	PEAKS034314	ZBTB33 (KAISO, ZNF348)	EXP030000	INPUT	GEO:GSM1003797	Q86T24	KAISO_HUMAN		170	1328	3597	0	2
3311	EXP030115	Homo sapiens	3.5.2.6.1	TEL		LoVo	PEAKS034182	ETV6 (Tel-1)	EXP030000	INPUT	GEO:GSM1003797	P41212	ETV6_HUMAN		7	35	755	0	1
3312	EXP030197	Homo sapiens	3.1.2.6.1	EMX1		LoVo	PEAKS034264	EMX-1	EXP030000	INPUT	GEO:GSM1003797	Q04741	EMX1_HUMAN		31	272	3168	3	4217
3313	EXP030317	Homo sapiens	3.1.1.4.1	HOXA4		LoVo	PEAKS034384	Hox-A4 (HOX1D)	EXP030000	INPUT	GEO:GSM1003797	Q00056	HXA4_HUMAN		12218	9235	35697	22945	1
3314	EXP030251	Homo sapiens	2.3.4.0.9	ZBTB39		LoVo	PEAKS034318	ZBTB39 [2+3+3]	EXP030000	INPUT	GEO:GSM1003797	O15060	ZBT39_HUMAN		7	3250	780	0	1
3315	EXP030383	Homo sapiens	3.5.3.0.8	IRF8		LoVo	PEAKS034450	IRF-8 (ICSBP1)	EXP030000	INPUT	GEO:GSM1003797	Q02556	IRF8_HUMAN			25	504	0	4
3316	EXP030140	Homo sapiens	3.5.2.1.7	FEV		LoVo	PEAKS034207	FEV (Pet-1)	EXP030000	INPUT	GEO:GSM1003797	Q99581	FEV_HUMAN		55	6977	14685	0	1
3317	EXP030128	Homo sapiens	1.1.6.0.2	ATF5		LoVo	PEAKS034195	ATF-5	EXP030000	INPUT	GEO:GSM1003797	Q9Y2D1	ATF5_HUMAN		139	4693	8435	0	1
3318	EXP030090	Homo sapiens	6.1.1.2.1	RELA		LoVo	PEAKS034157	NF-&#954;B p65 (RelA)	EXP030000	INPUT	GEO:GSM1003797	Q04206	TF65_HUMAN		13756	15439	25770	23847	66
3319	EXP030330	Homo sapiens	1.1.3.1.3	MAFB		LoVo	PEAKS034397	MafB	EXP030000	INPUT	GEO:GSM1003797	Q9Y5Q3	MAFB_HUMAN		133	173	1679	125	2
3320	EXP030066	Homo sapiens	6.3.1.0.1	TP53		LoVo	PEAKS034133	p53	EXP030000	INPUT	GEO:GSM1003797	P04637	P53_HUMAN		4	146	1020	0	1
3321	EXP030343	Homo sapiens	3.1.1.5.2	HOXB5		LoVo	PEAKS034410	Hox-B5 (HOX2A)	EXP030000	INPUT	GEO:GSM1003797	P09067	HXB5_HUMAN		6	24	684	0	0
3322	EXP030252	Homo sapiens	6.1.1.1.1	NFKB1		LoVo	PEAKS034319	NF-&#954;B p105 (NFKB1)	EXP030000	INPUT	GEO:GSM1003797	P19838	NFKB1_HUMAN		149	360	1765	1672	12973
3323	EXP030232	Homo sapiens	7.1.1.1.2	SMAD2		LoVo	PEAKS034299	SMAD2	EXP030000	INPUT	GEO:GSM1003797	Q15796	SMAD2_HUMAN		172	1836	6528	0	1
3324	EXP030118	Homo sapiens	3.3.2.2.2	TFDP2		LoVo	PEAKS034185	Dp-2 (Dp-3)	EXP030000	INPUT	GEO:GSM1003797	Q14188	TFDP2_HUMAN		38	379	1803	0	1
3325	EXP030299	Homo sapiens	1.2.3.4.8	ATOH1		LoVo	PEAKS034366	ATH-1	EXP030000	INPUT	GEO:GSM1003797	Q92858	ATOH1_HUMAN		308	1143	3384	0	15
3326	EXP030297	Homo sapiens	2.2.1.1.2	GATA2		LoVo	PEAKS034364	GATA-2	EXP030000	INPUT	GEO:GSM1003797	P23769	GATA2_HUMAN		50	887	3580	0	5
3327	EXP030056	Homo sapiens	3.5.2.5.2	SPIB		LoVo	PEAKS034123	Spi-B	EXP030000	INPUT	GEO:GSM1003797	Q01892	SPIB_HUMAN		11	2507	6514	0	2
3328	EXP030378	Homo sapiens	3.5.2.1.6	ERG		LoVo	PEAKS034445	ERG	EXP030000	INPUT	GEO:GSM1003797	P11308	ERG_HUMAN		20	317	3638	0	1
3329	EXP030109	Homo sapiens	1.2.6.1.2	TFEB		LoVo	PEAKS034176	TFEB	EXP030000	INPUT	GEO:GSM1003797	P19484	TFEB_HUMAN		75	1192	1023	0	1
3330	EXP030145	Homo sapiens	1.2.4.1.8	HEY1		LoVo	PEAKS034212	HEY-1	EXP030000	INPUT	GEO:GSM1003797	Q9Y5J3	HEY1_HUMAN		5	218	823	34	656
3331	EXP030053	Homo sapiens	2.3.4.14.1	EVI1		LoVo	PEAKS034120	EVI-1 [7+3] (MECOM)	EXP030000	INPUT	GEO:GSM1003797	Q03112	EVI1_HUMAN		4986	11691	25251	16733	1
3332	EXP030076	Homo sapiens	2.3.3.0.79	ZNF263		LoVo	PEAKS034143	ZNF263 [9] (FPM315, ZKSCAN12)	EXP030000	INPUT	GEO:GSM1003797	O14978	ZN263_HUMAN		151	22619	3878	28	
3333	EXP030078	Homo sapiens	3.1.5.6.2	LMX1B		LoVo	PEAKS034145	Lmx-1&#946; (LMX-1.2)	EXP030000	INPUT	GEO:GSM1003797	O60663	LMX1B_HUMAN		236	622	2438	0	1
3334	EXP030100	Homo sapiens	3.1.2.8.1	HHEX		LoVo	PEAKS034167	HHEX (PRH)	EXP030000	INPUT	GEO:GSM1003797	Q03014	HHEX_HUMAN		248	1716	4384	0	0
3335	EXP030027	Homo sapiens	3.5.1.1.2	MYBL1		LoVo	PEAKS034094	A-Myb (Myb-L1)	EXP030000	INPUT	GEO:GSM1003797	P10243	MYBA_HUMAN		28	841	1586	0	9143
3336	EXP030250	Homo sapiens	2.1.2.5.3	PPARG		LoVo	PEAKS034317	PPAR&#947; (NR1C3)	EXP030000	INPUT	GEO:GSM1003797	P37231	PPARG_HUMAN		31	1977	3036	0	1
3337	EXP030089	Homo sapiens	2.3.3.1.8	ZIC2		LoVo	PEAKS034156	ZIC2	EXP030000	INPUT	GEO:GSM1003797	O95409	ZIC2_HUMAN		1828	4654	11551	7975	9646
