0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
55	EXP000271	Mus musculus	2.3.3.9.1	yy1		BirA-ES cells	PEAKS035198	YY1	EXP000272		GEO:GSM788496,GEO:GSE31785,PUBMED:22210892	Q00899	TYY1_MOUSE	GEO:GSM788497,GEO:GSE31785,PUBMED:22210892	17411	9223	17441	17093	398
56	EXP031312	Mus musculus	3.5.2.5.1	sc-352	LPS, 120 min	bone marrow-derived dendritic cells	PEAKS035885	PU.1 (Spi-1)	EXP031268	none	GEO:GSM881100,GEO:GSE36099,PUBMED:22940246	P17433	SPI1_MOUSE	GEO:GSM881123,GEO:GSE36099,PUBMED:22940246		3	83	83	
57	EXP010380	Mus musculus	3.3.2.1.4	E2F4	None	CH12	PEAKS035485	E2F-4	EXP010613	Input	GEO:GSM912912	Q8R0K9	E2F4_MOUSE	GEO:GSM912917	3950	1728	3168	0	1
58	EXP030632	Homo sapiens	6.2.1.0.3	STAT3 (Santa Cruz, sc-482X)		OCI-Ly10	PEAKS034541	STAT3	EXP030623	none	GEO:GSM1227204,GEO:GSE50723,PUBMED:24142927	P40763	STAT3_HUMAN	GEO:GSM1227213,GEO:GSE50723,PUBMED:24142927	1124	133	1395	0	1
59	EXP031446	Homo sapiens	2.3.3.50.1	Millipore 07-729	adult bone marrow	CD34+ HSPC-derived proerythroblasts	PEAKS034764	CTCF [11]	EXP031439	none	GEO:GSM908065,GEO:GSE36985,PUBMED:23041383	P49711	CTCF_HUMAN	GEO:GSM908073,GEO:GSE36985,PUBMED:23041383	140	142	6190	3653	3
60	EXP000415	Homo sapiens	1.2.5.3.1	SRC1	tamoxifen	LY2	PEAKS033198	NCoA-1 (SRC-1)	EXP000416	input	GEO:GSM717979,GEO:GSE28987,PUBMED:22072566	Q15788	NCOA1_HUMAN	GEO:GSM717980,GEO:GSE28987,PUBMED:22072566	23223	24806	55248	18531	148
61	EXP000465	Mus musculus	6.2.1.0.1	anti-STAT1? (santa cruz: sc-417)		Bone marrow macrophages ikk-/-	PEAKS035278	STAT1	EXP000466	input	GEO:GSM838687,GEO:GSE33913,PUBMED:22171011	P42225	STAT1_MOUSE	GEO:GSM838688,GEO:GSE33913,PUBMED:22171011	39225	15083	37143	37143	24711
62	EXP030518	Mus musculus	2.6.1.0.5	KDM2A		embryonic stem cells (ESCs), V6.5	PEAKS035566	KDM2A (CXXC8, FBL7, FBXL11, JHDM1A)	EXP030517	none	GEO:GSM1003593,GEO:GSE40860,PUBMED:23256043	P59997	KDM2A_MOUSE	GEO:GSM1003595,GEO:GSE40860,PUBMED:23256043	2734	8802	22038	22020	716
63	EXP032993	Mus musculus	2.1.1.2.2	anti-ERalpha	estradiol (250 ng/mouse)	uterine cells	PEAKS036650	Estrogen receptor &#946; (ER&#946;) (NR3A2)			GEO:GSM1361946,GEO:GSE56466	O08537	ESR2_MOUSE		46218	114078	52087	52087	56599
64	EXP011126	Homo sapiens	1.2.6.5.5	Max	None	ECC-1	PEAKS033978	Max	EXP010856	RevXlinkChromatin	GEO:GSM1010807	P61244	MAX_HUMAN	GEO:GSM1010874	27298	15171	38662	38662	11123
65	EXP010003	Mus musculus	3.5.1.1.1	c-Myb_(SC-7874)	None	MEL	PEAKS035460	c-Myb	EXP010644	Input	GEO:GSM912903	P06876	MYB_MOUSE	GEO:GSM912905	8339	2345	6614	0	3
66	EXP010462	Homo sapiens	2.3.4.0.27	NRSF	None	PFSK-1	PEAKS033673	REST [1+7+1] (NRSF, XBR)	EXP010210	RevXlinkChromatin	GEO:GSM803369	Q13127	REST_HUMAN	GEO:GSM803376	6089	6569	11616	6934	2105
67	EXP000790	Mus musculus	2.2.1.1.3	anti-Gata3 (558686, BD bioscience)		Naive regulatory T cells	PEAKS035394	GATA-3			GEO:GSM523230,GEO:GSE20898,PUBMED:21867929	P23772	GATA3_MOUSE		9880	16555	9395	9395	5100
68	EXP032108	Homo sapiens	1.2.6.4.1	TFAP4, HPA001912, Sigma		DLD-1	PEAKS034939	AP-4			GEO:GSM1141538,GEO:GSE46935,PUBMED:23752226	Q01664	TFAP4_HUMAN		18646	29222	26018	26018	7134
69	EXP032094	Mus musculus	3.5.3.0.4	anti-Irf4 (Santa Cruz; sc-6059)	stimulated for 3 days	resting mature peripheral primary B cells	PEAKS036250	IRF-4 (LSIRF, NF-EM5, MUM1, Pip)	EXP032092	none	PUBMED:23684984,GEO:GSM1133495,GEO:GSM1133496,GEO:GSE46607,GEO:GSM1133494	Q64287	IRF4_MOUSE	GEO:GSM1133490,GEO:GSE46607,PUBMED:23684984	4069	150	1543	0	
70	EXP010211	Homo sapiens	2.1.1.1.1	GRp20	forskolin	HepG2	PEAKS033534	Glucocorticoid receptor (GR) (NR3C1)	EXP010368	Input	GEO:GSM935620	P04150	GCR_HUMAN	GEO:GSM935444	629	596	1140	402	273
71	EXP030762	Mus musculus	3.5.3.0.4	sc-6059		Th0 polarized cells	PEAKS035637	IRF-4 (LSIRF, NF-EM5, MUM1, Pip)	EXP030756		GEO:GSM999803,GEO:GSE40727,PUBMED:22983707	Q64287	IRF4_MOUSE	GEO:GSM999806,GEO:GSE40727,PUBMED:22983707	1599	1519	2976	2957	
72	EXP011135	Mus musculus	2.2.1.1.1	GATA1_(SC-265)	diffProtD_3hr	G1E-ER4	PEAKS035528	GATA-1 (GF-1, EryF1, NF-E1)	EXP010879	Input	GEO:GSM995443	P17679	GATA1_MOUSE	GEO:GSM995437	14783	9727	20839	20839	5728
73	EXP031972	Homo sapiens	3.5.2.1.5	FLI1 (Abcam ab15289), GR46872-1		CD34+ cells	PEAKS034897	Fli-1	EXP031970	IgG	GEO:GSM1097880,GEO:GSE45144,PUBMED:23974199	Q01543	FLI1_HUMAN	GEO:GSM1097886,GEO:GSE45144,PUBMED:23974199	15804	12760	34927	34927	9371
74	EXP011029	Homo sapiens	1.1.8.1.2	CEBPB_(SC-150)	None	A549	PEAKS033901	C/EBP&#946; (NF-IL6-1)	EXP010868	RevXlinkChromatin	GEO:GSM1010871	P17676	CEBPB_HUMAN	GEO:GSM1010866	21788	11831	36730	36730	11191
75	EXP000658	Homo sapiens	3.3.2.1.1	mouse anti-HA (Covance, catalog # MMS-101P)		MCF7 cell line stably expressing HA ER E2F1I?C mutant	PEAKS033224	E2F-1	EXP000662	input	GEO:GSM699987,GEO:GSE28286,PUBMED:21310950	Q01094	E2F1_HUMAN	GEO:GSE28286,PUBMED:21310950,GEO:GSM699990,GEO:GSM699991	23660	14572	23417	23417	12397
76	EXP000406	Homo sapiens	2.1.1.1.4	AR	Vehicle	LNCaP cell line	PEAKS033319	Androgen receptor (AR) (NR3C4)	EXP000410	input	GEO:GSM696839,GEO:GSE28126,PUBMED:21602788	P10275	ANDR_HUMAN	GEO:GSM696845,GEO:GSE28126,PUBMED:21602788	27	88	2132	0	2
77	EXP032954	Homo sapiens	6.3.1.0.1	anti-p53	ionizing radiation	Human diploid foreskin fibroblasts (BJ) immortalized with hTERT	PEAKS035155	p53	EXP032952	IgG	GEO:GSM1348340,GEO:GSE55912,PUBMED:24797517	P04637	P53_HUMAN	GEO:GSM1348341,GEO:GSE55912,PUBMED:24797517	2308	714	1949	745	49
78	EXP000175	Mus musculus	3.7.1.6.1	Jarid1a		LF2	PEAKS035244	JARID1A (KDM5A, RBBP2, RBP2)	EXP000176	input	GEO:GSM480163,GEO:GSE18776,PUBMED:20064375	Q3UXZ9	KDM5A_MOUSE	GEO:GSM480164,GEO:GSE18776,PUBMED:20064375	6457	9260	17686	8821	2111
79	EXP032840	Homo sapiens	2.1.1.2.1	ER? (Santa Cruz Biotechnology; sc-534X, sc-7207X)	siERalpha	MCF-7	PEAKS035118	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP032838	Rabbit Control IgG ChIP Grade ab46540	GEO:GSM1295591,GEO:GSE53531,PUBMED:24639548	P03372	ESR1_HUMAN	GEO:GSM1295592,GEO:GSE53531,PUBMED:24639548	1585	1341	2915	1887	638
80	EXP030699	Homo sapiens	2.3.3.9.1	YY1; polyclonal anti-YY1 (sc-1703)		HeLa, cycling	PEAKS034571	YY1	EXP030695	None	GEO:GSM779433,GEO:GSE31417,PUBMED:23539139	P25490	TYY1_HUMAN	GEO:GSM779429,GEO:GSM779428,GEO:GSM779427,PUBMED:23539139,GEO:GSE31417	2289	1248	1875	278	286
81	EXP000633	Mus musculus	1.1.8.1.2	C/EBPbeta	day 0 of differentiation	3T3-L1 preadipocyte cell line	PEAKS035306	C/EBP&#946; (NF-IL6-1)	EXP000644	input	GEO:GSM686970,GEO:GSE27826,PUBMED:21427703	P28033	CEBPB_MOUSE	GEO:GSM686983,GEO:GSE27826,PUBMED:21427703	25428	11913	28280	28280	
82	EXP030457	Mus musculus	1.2.5.2.3	anti-BMAL1 (Abcam; #ab3350-200; lot 805009)		C57BL/6, Liver	PEAKS035552	ArntL (BMAL1)	EXP030455	none (input)	GEO:GSM904672,GEO:GSE36874,PUBMED:23150795	Q9WTL8	BMAL1_MOUSE	GEO:GSM904673,GEO:GSE36874,PUBMED:23150795	544	477	678	289	
83	EXP010196	Homo sapiens	2.2.1.1.2	GATA2_(SC-267)	None	K562	PEAKS033523	GATA-2	EXP010671	RevXlinkChromatin	GEO:GSM803540	P23769	GATA2_HUMAN	GEO:GSM803468	20042	2615	10521	8567	620
