Model	Transcription factor	TF family
NR1I3_HUMAN.H11MO.0.C	NR1I3	Thyroid hormone receptor-related factors (NR1){2.1.2}
NR2C1_HUMAN.H11MO.0.C	NR2C1	RXR-related receptors (NR2){2.1.3}
NR2C2_HUMAN.H11MO.0.B	NR2C2	RXR-related receptors (NR2){2.1.3}
NR2E3_HUMAN.H11MO.0.C	NR2E3	RXR-related receptors (NR2){2.1.3}
NR4A1_HUMAN.H11MO.0.A	NR4A1	NGFI-B-related receptors (NR4){2.1.4}
NR4A2_HUMAN.H11MO.0.C	NR4A2	NGFI-B-related receptors (NR4){2.1.4}
NR5A2_HUMAN.H11MO.0.B	NR5A2	FTZ-F1-related receptors (NR5){2.1.5}
NR6A1_HUMAN.H11MO.0.B	NR6A1	GCNF-related receptors (NR6){2.1.6}
NRF1_HUMAN.H11MO.0.A	NRF1	NRF{0.0.6}
OLIG2_HUMAN.H11MO.0.B	OLIG2	Tal-related factors{1.2.3}
OSR2_HUMAN.H11MO.0.C	OSR2	More than 3 adjacent zinc finger factors{2.3.3}
OTX2_HUMAN.H11MO.0.A	OTX2	Paired-related HD factors{3.1.3}
OVOL1_HUMAN.H11MO.0.C	OVOL1	More than 3 adjacent zinc finger factors{2.3.3}
OZF_HUMAN.H11MO.0.C	ZNF146	More than 3 adjacent zinc finger factors{2.3.3}
P53_HUMAN.H11MO.0.A	TP53	p53-related factors{6.3.1}
P63_HUMAN.H11MO.0.A	TP63	p53-related factors{6.3.1}
P73_HUMAN.H11MO.0.A	TP73	p53-related factors{6.3.1}
PATZ1_HUMAN.H11MO.0.C	PATZ1	Factors with multiple dispersed zinc fingers{2.3.4}
PAX5_HUMAN.H11MO.0.A	PAX5	Paired domain only{3.2.2}
PAX6_HUMAN.H11MO.0.C	PAX6	Paired plus homeo domain{3.2.1}
PBX1_HUMAN.H11MO.0.A	PBX1	TALE-type homeo domain factors{3.1.4}
PBX2_HUMAN.H11MO.0.C	PBX2	TALE-type homeo domain factors{3.1.4}
PBX3_HUMAN.H11MO.0.A	PBX3	TALE-type homeo domain factors{3.1.4}
PDX1_HUMAN.H11MO.0.A	PDX1	HOX-related factors{3.1.1}
PEBB_HUMAN.H11MO.0.C	CBFB	
PIT1_HUMAN.H11MO.0.C	POU1F1	POU domain factors{3.1.10}
PKNX1_HUMAN.H11MO.0.B	PKNOX1	TALE-type homeo domain factors{3.1.4}
PO2F1_HUMAN.H11MO.0.C	POU2F1	POU domain factors{3.1.10}
PO2F2_HUMAN.H11MO.0.A	POU2F2	POU domain factors{3.1.10}
PO3F1_HUMAN.H11MO.0.C	POU3F1	POU domain factors{3.1.10}
PO3F2_HUMAN.H11MO.0.A	POU3F2	POU domain factors{3.1.10}
PO5F1_HUMAN.H11MO.0.A	POU5F1	POU domain factors{3.1.10}
PPARA_HUMAN.H11MO.0.B	PPARA	Thyroid hormone receptor-related factors (NR1){2.1.2}
PPARG_HUMAN.H11MO.0.A	PPARG	Thyroid hormone receptor-related factors (NR1){2.1.2}
PRD14_HUMAN.H11MO.0.A	PRDM14	More than 3 adjacent zinc finger factors{2.3.3}
PRDM1_HUMAN.H11MO.0.A	PRDM1	More than 3 adjacent zinc finger factors{2.3.3}
PRDM6_HUMAN.H11MO.0.C	PRDM6	More than 3 adjacent zinc finger factors{2.3.3}
PRGR_HUMAN.H11MO.0.A	PGR	Steroid hormone receptors (NR3){2.1.1}
PRRX2_HUMAN.H11MO.0.C	PRRX2	Paired-related HD factors{3.1.3}
PTF1A_HUMAN.H11MO.0.B	PTF1A	Tal-related factors{1.2.3}
RARA_HUMAN.H11MO.0.A	RARA	Thyroid hormone receptor-related factors (NR1){2.1.2}
RARG_HUMAN.H11MO.0.B	RARG	Thyroid hormone receptor-related factors (NR1){2.1.2}
RELB_HUMAN.H11MO.0.C	RELB	NF-kappaB-related factors{6.1.1}
REL_HUMAN.H11MO.0.B	REL	NF-kappaB-related factors{6.1.1}
REST_HUMAN.H11MO.0.A	REST	Factors with multiple dispersed zinc fingers{2.3.4}
RFX1_HUMAN.H11MO.0.B	RFX1	RFX-related factors{3.3.3}
RFX2_HUMAN.H11MO.0.A	RFX2	RFX-related factors{3.3.3}
RFX3_HUMAN.H11MO.0.B	RFX3	RFX-related factors{3.3.3}
RFX5_HUMAN.H11MO.0.A	RFX5	RFX-related factors{3.3.3}
RORA_HUMAN.H11MO.0.C	RORA	Thyroid hormone receptor-related factors (NR1){2.1.2}
RORG_HUMAN.H11MO.0.C	RORC	Thyroid hormone receptor-related factors (NR1){2.1.2}
RUNX1_HUMAN.H11MO.0.A	RUNX1	Runt-related factors{6.4.1}
RUNX2_HUMAN.H11MO.0.A	RUNX2	Runt-related factors{6.4.1}
RUNX3_HUMAN.H11MO.0.A	RUNX3	Runt-related factors{6.4.1}
RXRA_HUMAN.H11MO.0.A	RXRA	RXR-related receptors (NR2){2.1.3}
RXRB_HUMAN.H11MO.0.C	RXRB	RXR-related receptors (NR2){2.1.3}
RXRG_HUMAN.H11MO.0.B	RXRG	RXR-related receptors (NR2){2.1.3}
SALL4_HUMAN.H11MO.0.B	SALL4	Factors with multiple dispersed zinc fingers{2.3.4}
SIX1_HUMAN.H11MO.0.A	SIX1	HD-SINE factors{3.1.6}
SIX2_HUMAN.H11MO.0.A	SIX2	HD-SINE factors{3.1.6}
SMAD2_HUMAN.H11MO.0.A	SMAD2	SMAD factors{7.1.1}
SMAD3_HUMAN.H11MO.0.B	SMAD3	SMAD factors{7.1.1}
SMAD4_HUMAN.H11MO.0.B	SMAD4	SMAD factors{7.1.1}
SMCA1_HUMAN.H11MO.0.C	SMARCA1	Myb/SANT domain factors{3.5.1}
SMCA5_HUMAN.H11MO.0.C	SMARCA5	Myb/SANT domain factors{3.5.1}
SNAI1_HUMAN.H11MO.0.C	SNAI1	More than 3 adjacent zinc finger factors{2.3.3}
SNAI2_HUMAN.H11MO.0.A	SNAI2	More than 3 adjacent zinc finger factors{2.3.3}
SOX10_HUMAN.H11MO.0.B	SOX10	SOX-related factors{4.1.1}
SOX17_HUMAN.H11MO.0.C	SOX17	SOX-related factors{4.1.1}
SOX2_HUMAN.H11MO.0.A	SOX2	SOX-related factors{4.1.1}
SOX3_HUMAN.H11MO.0.B	SOX3	SOX-related factors{4.1.1}
SOX4_HUMAN.H11MO.0.B	SOX4	SOX-related factors{4.1.1}
SOX5_HUMAN.H11MO.0.C	SOX5	SOX-related factors{4.1.1}
SOX9_HUMAN.H11MO.0.B	SOX9	SOX-related factors{4.1.1}
SP1_HUMAN.H11MO.0.A	SP1	Three-zinc finger Krüppel-related factors{2.3.1}
SP2_HUMAN.H11MO.0.A	SP2	Three-zinc finger Krüppel-related factors{2.3.1}
SP3_HUMAN.H11MO.0.B	SP3	Three-zinc finger Krüppel-related factors{2.3.1}
SP4_HUMAN.H11MO.0.A	SP4	Three-zinc finger Krüppel-related factors{2.3.1}
SPI1_HUMAN.H11MO.0.A	SPI1	Ets-related factors{3.5.2}
SPIB_HUMAN.H11MO.0.A	SPIB	Ets-related factors{3.5.2}
SRBP1_HUMAN.H11MO.0.A	SREBF1	bHLH-ZIP factors{1.2.6}
SRBP2_HUMAN.H11MO.0.B	SREBF2	bHLH-ZIP factors{1.2.6}
SRF_HUMAN.H11MO.0.A	SRF	Responders to external signals (SRF/RLM1){5.1.2}
SRY_HUMAN.H11MO.0.B	SRY	SOX-related factors{4.1.1}
STA5A_HUMAN.H11MO.0.A	STAT5A	STAT factors{6.2.1}
STA5B_HUMAN.H11MO.0.A	STAT5B	STAT factors{6.2.1}
STAT1_HUMAN.H11MO.0.A	STAT1	STAT factors{6.2.1}
STAT2_HUMAN.H11MO.0.A	STAT2	STAT factors{6.2.1}
STAT3_HUMAN.H11MO.0.A	STAT3	STAT factors{6.2.1}
STAT4_HUMAN.H11MO.0.A	STAT4	STAT factors{6.2.1}
STAT6_HUMAN.H11MO.0.B	STAT6	STAT factors{6.2.1}
STF1_HUMAN.H11MO.0.B	NR5A1	FTZ-F1-related receptors (NR5){2.1.5}
SUH_HUMAN.H11MO.0.A	RBPJ	CSL-related factors{6.1.4}
TAF1_HUMAN.H11MO.0.A	TAF1	TCF-7-related factors{4.1.3}
TAL1_HUMAN.H11MO.0.A	TAL1	Tal-related factors{1.2.3}
TBP_HUMAN.H11MO.0.A	TBP	TBP-related factors{8.1.1}
TBX21_HUMAN.H11MO.0.A	TBX21	TBrain-related factors{6.5.2}
TBX3_HUMAN.H11MO.0.C	TBX3	TBX2-related factors{6.5.4}
TCF7_HUMAN.H11MO.0.A	TCF7	TCF-7-related factors{4.1.3}
TEAD1_HUMAN.H11MO.0.A	TEAD1	TEF-1-related factors{3.6.1}
TEAD4_HUMAN.H11MO.0.A	TEAD4	TEF-1-related factors{3.6.1}
TF65_HUMAN.H11MO.0.A	RELA	NF-kappaB-related factors{6.1.1}
TF7L1_HUMAN.H11MO.0.B	TCF7L1	TCF-7-related factors{4.1.3}
TF7L2_HUMAN.H11MO.0.A	TCF7L2	TCF-7-related factors{4.1.3}
TFAP4_HUMAN.H11MO.0.A	TFAP4	bHLH-ZIP factors{1.2.6}
TFDP1_HUMAN.H11MO.0.C	TFDP1	E2F-related factors{3.3.2}
TFE2_HUMAN.H11MO.0.A	TCF3	E2A-related factors{1.2.1}
